Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	2.65443   	4.000000	1.30258   	4.000000	1.3106    	4.000000	1.3106    	4.000000	1.30169   	4.000000	0.000885687	
4.500000	2.44324   	4.500000	1.21928   	4.500000	1.22827   	4.500000	1.22827   	4.500000	1.21848   	4.500000	0.00080037	
5.000000	2.26502   	5.000000	1.14775   	5.000000	1.15683   	5.000000	1.15683   	5.000000	1.14702   	5.000000	0.000730874	
5.500000	2.11254   	5.500000	1.08547   	5.500000	1.09426   	5.500000	1.09426   	5.500000	1.0848    	5.500000	0.000673099	
6.000000	1.98053   	6.000000	1.03063   	6.000000	1.03898   	6.000000	1.03898   	6.000000	1.03      	6.000000	0.000624262	
6.500000	1.86508   	6.500000	0.981897  	6.500000	0.989773  	6.500000	0.989773  	6.500000	0.981315  	6.500000	0.000582402	
7.000000	1.76322   	7.000000	0.938264  	7.000000	0.945672  	7.000000	0.945672  	7.000000	0.937718  	7.000000	0.000546097	
7.500000	1.67266   	7.500000	0.898934  	7.500000	0.905901  	7.500000	0.905901  	7.500000	0.898419  	7.500000	0.000514293	
8.000000	1.59158   	8.000000	0.863275  	8.000000	0.869835  	8.000000	0.869835  	8.000000	0.862789  	8.000000	0.000486185	
8.500000	1.51855   	8.500000	0.830778  	8.500000	0.836963  	8.500000	0.836963  	8.500000	0.830317  	8.500000	0.000461153	
9.000000	1.45241   	9.000000	0.801023  	9.000000	0.806866  	9.000000	0.806866  	9.000000	0.800585  	9.000000	0.000438711	
9.500000	1.39222   	9.500000	0.773666  	9.500000	0.779196  	9.500000	0.779196  	9.500000	0.773247  	9.500000	0.000418468	
10.000000	1.33719   	10.000000	0.755387  	10.000000	0.753659  	10.000000	0.753659  	10.000000	0.754987  	10.000000	0.00040011	
11.000000	1.24016   	11.000000	0.715744  	11.000000	0.710765  	11.000000	0.711553  	11.000000	0.715376  	11.000000	0.000368071	
12.000000	1.15727   	12.000000	0.679596  	12.000000	0.673171  	12.000000	0.674476  	12.000000	0.679255  	12.000000	0.000341025	
13.000000	1.0856    	13.000000	0.64671   	13.000000	0.639903  	13.000000	0.641542  	13.000000	0.646393  	13.000000	0.000317873	
14.000000	1.02299   	14.000000	0.616786  	14.000000	0.61021   	14.000000	0.612067  	14.000000	0.616488  	14.000000	0.000297815	
15.000000	0.967789  	15.000000	0.589511  	15.000000	0.583512  	15.000000	0.585512  	15.000000	0.589231  	15.000000	0.000280262	
16.000000	0.918748  	16.000000	0.564596  	16.000000	0.559382  	16.000000	0.561445  	16.000000	0.564331  	16.000000	0.000264763	
17.000000	0.874874  	17.000000	0.541774  	17.000000	0.53745   	17.000000	0.539517  	17.000000	0.541523  	17.000000	0.000250973	
18.000000	0.835377  	18.000000	0.520813  	18.000000	0.517382  	18.000000	0.519441  	18.000000	0.520574  	18.000000	0.000238618	
19.000000	0.799626  	19.000000	0.501505  	19.000000	0.498936  	19.000000	0.500979  	19.000000	0.501278  	19.000000	0.000227483	
20.000000	0.767103  	20.000000	0.483672  	20.000000	0.481816  	20.000000	0.483809  	20.000000	0.483455  	20.000000	0.000217392	
21.000000	0.737382  	21.000000	0.467156  	21.000000	0.4661    	21.000000	0.468018  	21.000000	0.466948  	21.000000	0.000208202	
22.000000	0.710112  	22.000000	0.451821  	22.000000	0.451499  	22.000000	0.453339  	22.000000	0.451622  	22.000000	0.000199796	
23.000000	0.684997  	23.000000	0.437548  	23.000000	0.437883  	23.000000	0.43965   	23.000000	0.437356  	23.000000	0.000192076	
24.000000	0.661786  	24.000000	0.424231  	24.000000	0.425151  	24.000000	0.426849  	24.000000	0.424046  	24.000000	0.00018496	
25.000000	0.640267  	25.000000	0.411778  	25.000000	0.413215  	25.000000	0.414846  	25.000000	0.4116    	25.000000	0.000178378	
27.000000	0.601606  	27.000000	0.389155  	27.000000	0.391456  	27.000000	0.392935  	27.000000	0.388989  	27.000000	0.000166591	
29.000000	0.567839  	29.000000	0.369138  	29.000000	0.372118  	29.000000	0.37341   	29.000000	0.368982  	29.000000	0.000156334	
31.000000	0.538078  	31.000000	0.351303  	31.000000	0.354473  	31.000000	0.355532  	31.000000	0.351156  	31.000000	0.000147325	
33.000000	0.511639  	33.000000	0.335311  	33.000000	0.338355  	33.000000	0.339198  	33.000000	0.335172  	33.000000	0.000139343	
35.000000	0.487986  	35.000000	0.32089   	35.000000	0.32387   	35.000000	0.324525  	35.000000	0.320758  	35.000000	0.000132222	
38.000000	0.456822  	38.000000	0.30173   	38.000000	0.304683  	38.000000	0.305098  	38.000000	0.301607  	38.000000	0.000122866	
41.000000	0.429883  	41.000000	0.285025  	41.000000	0.288002  	41.000000	0.288211  	41.000000	0.28491   	41.000000	0.000114803	
44.000000	0.406349  	44.000000	0.270329  	44.000000	0.273295  	44.000000	0.273383  	44.000000	0.270222  	44.000000	0.000107778	
47.000000	0.385603  	47.000000	0.257298  	47.000000	0.260293  	47.000000	0.26025   	47.000000	0.257196  	47.000000	0.000101601	
50.000000	0.367168  	50.000000	0.245661  	50.000000	0.248677  	50.000000	0.24853   	50.000000	0.245565  	50.000000	9.61237e-05	
55.000000	0.340603  	55.000000	0.228801  	55.000000	0.231805  	55.000000	0.231554  	55.000000	0.228713  	55.000000	8.82521e-05	
60.000000	0.318163  	60.000000	0.214483  	60.000000	0.217463  	60.000000	0.217134  	60.000000	0.214401  	60.000000	8.16231e-05	
65.000000	0.298941  	65.000000	0.202167  	65.000000	0.205086  	65.000000	0.20472   	65.000000	0.202091  	65.000000	7.59604e-05	
70.000000	0.282278  	70.000000	0.191456  	70.000000	0.194349  	70.000000	0.193915  	70.000000	0.191385  	70.000000	7.10643e-05	
75.000000	0.267685  	75.000000	0.182053  	75.000000	0.184868  	75.000000	0.184419  	75.000000	0.181986  	75.000000	6.67868e-05	
80.000000	0.254792  	80.000000	0.17373   	80.000000	0.176493  	80.000000	0.176003  	80.000000	0.173667  	80.000000	6.30162e-05	
85.000000	0.243313  	85.000000	0.166309  	85.000000	0.168987  	85.000000	0.168491  	85.000000	0.166249  	85.000000	5.96661e-05	
90.000000	0.233021  	90.000000	0.15965   	90.000000	0.162269  	90.000000	0.161742  	90.000000	0.159593  	90.000000	5.6669e-05	
95.000000	0.223739  	95.000000	0.15364   	95.000000	0.156172  	95.000000	0.155644  	95.000000	0.153586  	95.000000	5.39711e-05	
100.000000	0.21532   	100.000000	0.148187  	100.000000	0.150634  	100.000000	0.150105  	100.000000	0.148136  	100.000000	5.15292e-05	
105.000000	0.207647  	105.000000	0.143218  	105.000000	0.14558   	105.000000	0.145052  	105.000000	0.143169  	105.000000	4.93078e-05	
110.000000	0.200624  	110.000000	0.13867   	110.000000	0.140969  	110.000000	0.140422  	110.000000	0.138622  	110.000000	4.72781e-05	
115.000000	0.194168  	115.000000	0.13449   	115.000000	0.136717  	115.000000	0.136164  	115.000000	0.134445  	115.000000	4.54159e-05	
120.000000	0.188213  	120.000000	0.130637  	120.000000	0.132782  	120.000000	0.132234  	120.000000	0.130593  	120.000000	4.3701e-05	
125.000000	0.1827    	125.000000	0.127072  	125.000000	0.129143  	125.000000	0.128595  	125.000000	0.12703   	125.000000	4.21163e-05	
130.000000	0.177582  	130.000000	0.123764  	130.000000	0.125762  	130.000000	0.125216  	130.000000	0.123723  	130.000000	4.06474e-05	
135.000000	0.172815  	135.000000	0.120687  	135.000000	0.122614  	135.000000	0.12207   	135.000000	0.120647  	135.000000	3.92818e-05	
140.000000	0.168365  	140.000000	0.117816  	140.000000	0.119675  	140.000000	0.119133  	140.000000	0.117778  	140.000000	3.80088e-05	
145.000000	0.164199  	145.000000	0.115132  	145.000000	0.116925  	145.000000	0.116386  	145.000000	0.115095  	145.000000	3.68192e-05	
150.000000	0.160291  	150.000000	0.112616  	150.000000	0.114347  	150.000000	0.113809  	150.000000	0.112581  	150.000000	3.57049e-05	
155.000000	0.154789  	155.000000	0.110254  	155.000000	0.111924  	155.000000	0.111389  	155.000000	0.11022   	155.000000	3.4659e-05	
160.000000	0.151563  	160.000000	0.108032  	160.000000	0.109644  	160.000000	0.10911   	160.000000	0.107998  	160.000000	3.36752e-05	
165.000000	0.148522  	165.000000	0.105937  	165.000000	0.107493  	165.000000	0.106961  	165.000000	0.105904  	165.000000	3.2748e-05	
170.000000	0.145649  	170.000000	0.103959  	170.000000	0.105461  	170.000000	0.104932  	170.000000	0.103927  	170.000000	3.18727e-05	
175.000000	0.14293   	175.000000	0.102088  	175.000000	0.103538  	175.000000	0.103011  	175.000000	0.102057  	175.000000	3.10449e-05	
180.000000	0.140354  	180.000000	0.100316  	180.000000	0.101717  	180.000000	0.101192  	180.000000	0.100286  	180.000000	3.02608e-05	
185.000000	0.137908  	185.000000	0.0986357 	185.000000	0.0999885 	185.000000	0.0994657 	185.000000	0.0986062 	185.000000	2.9517e-05	
190.000000	0.135585  	190.000000	0.0970393 	190.000000	0.0983463 	190.000000	0.0978255 	190.000000	0.0970105 	190.000000	2.88105e-05	
195.000000	0.133373  	195.000000	0.095521  	195.000000	0.0967841 	195.000000	0.0962653 	195.000000	0.0954929 	195.000000	2.81384e-05	
200.000000	0.131266  	200.000000	0.0940752 	200.000000	0.0952961 	200.000000	0.0947793 	200.000000	0.0940477 	200.000000	2.74982e-05	
210.000000	0.127336  	210.000000	0.0913814 	210.000000	0.092523  	210.000000	0.0920101 	210.000000	0.0913551 	210.000000	2.6305e-05	
220.000000	0.123744  	220.000000	0.0889227 	220.000000	0.089991  	220.000000	0.0894819 	220.000000	0.0888974 	220.000000	2.52151e-05	
230.000000	0.120448  	230.000000	0.0866695 	230.000000	0.0876706 	230.000000	0.087165  	230.000000	0.0866453 	230.000000	2.42155e-05	
240.000000	0.117413  	240.000000	0.0845974 	240.000000	0.0855358 	240.000000	0.0850343 	240.000000	0.0845741 	240.000000	2.32952e-05	
250.000000	0.114608  	250.000000	0.0826854 	250.000000	0.0835683 	250.000000	0.0830685 	250.000000	0.082663  	250.000000	2.24451e-05	
260.000000	0.112009  	260.000000	0.0809159 	260.000000	0.0817408 	260.000000	0.0812495 	260.000000	0.0808943 	260.000000	2.16573e-05	
270.000000	0.109593  	270.000000	0.0792736 	270.000000	0.0800413 	270.000000	0.0795618 	270.000000	0.0792527 	270.000000	2.09251e-05	
280.000000	0.107342  	280.000000	0.0777455 	280.000000	0.0784695 	280.000000	0.0779919 	280.000000	0.0777253 	280.000000	2.02427e-05	
290.000000	0.10524   	290.000000	0.0763202 	290.000000	0.0770035 	290.000000	0.0765283 	290.000000	0.0763006 	290.000000	1.96052e-05	
300.000000	0.103271  	300.000000	0.0749878 	300.000000	0.075633  	300.000000	0.0751607 	300.000000	0.0749688 	300.000000	1.90082e-05	
310.000000	0.101425  	310.000000	0.0737397 	310.000000	0.0743502 	310.000000	0.0738803 	310.000000	0.0737212 	310.000000	1.8448e-05	
320.000000	0.0996896 	320.000000	0.0725682 	320.000000	0.0731468 	320.000000	0.0726792 	320.000000	0.0725503 	320.000000	1.79211e-05	
330.000000	0.0980555 	330.000000	0.0714667 	330.000000	0.0720155 	330.000000	0.0715505 	330.000000	0.0714493 	330.000000	1.74247e-05	
340.000000	0.0965143 	340.000000	0.0704292 	340.000000	0.0709513 	340.000000	0.0704882 	340.000000	0.0704123 	340.000000	1.69561e-05	
350.000000	0.0950584 	350.000000	0.0694505 	350.000000	0.0699486 	350.000000	0.0694867 	350.000000	0.069434  	350.000000	1.65131e-05	
