Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	3.50371   	4.500000	3.36035   	4.500000	3.46708   	4.500000	3.46708   	4.500000	3.35885   	4.500000	0.0015026 	
5.000000	3.22465   	5.000000	3.07567   	5.000000	3.2062    	5.000000	3.2062    	5.000000	3.0743    	5.000000	0.00136699	
5.500000	2.98866   	5.500000	2.83477   	5.500000	2.98305   	5.500000	2.98305   	5.500000	2.83352   	5.500000	0.00125477	
6.000000	2.78641   	6.000000	2.62818   	6.000000	2.78995   	6.000000	2.78995   	6.000000	2.62702   	6.000000	0.00116028	
6.500000	2.61111   	6.500000	2.44904   	6.500000	2.62119   	6.500000	2.62119   	6.500000	2.44796   	6.500000	0.00107959	
7.000000	2.45767   	7.000000	2.29222   	7.000000	2.4724    	7.000000	2.4724    	7.000000	2.29121   	7.000000	0.00100984	
7.500000	2.32221   	7.500000	2.15382   	7.500000	2.34023   	7.500000	2.34023   	7.500000	2.15287   	7.500000	0.00094891	
8.000000	2.20172   	8.000000	2.03079   	8.000000	2.222     	8.000000	2.222     	8.000000	2.02989   	8.000000	0.000895211	
8.500000	2.09382   	8.500000	1.92072   	8.500000	2.11562   	8.500000	2.11562   	8.500000	1.91987   	8.500000	0.00084751	
9.000000	1.99663   	9.000000	1.82168   	9.000000	2.01936   	9.000000	2.01936   	9.000000	1.82088   	9.000000	0.000804841	
9.500000	1.90861   	9.500000	1.73212   	9.500000	1.93183   	9.500000	1.93183   	9.500000	1.73135   	9.500000	0.000766437	
10.000000	1.82852   	10.000000	1.6669    	10.000000	1.85189   	10.000000	1.85189   	10.000000	1.66617   	10.000000	0.000731681	
11.000000	1.68812   	11.000000	1.55678   	11.000000	1.70847   	11.000000	1.7094    	11.000000	1.55611   	11.000000	0.000671188	
12.000000	1.56906   	12.000000	1.46073   	12.000000	1.58638   	12.000000	1.58792   	12.000000	1.46011   	12.000000	0.000620296	
13.000000	1.46677   	13.000000	1.37629   	13.000000	1.4812    	13.000000	1.48313   	13.000000	1.37571   	13.000000	0.000576861	
14.000000	1.37791   	14.000000	1.30151   	14.000000	1.38965   	14.000000	1.39184   	14.000000	1.30097   	14.000000	0.000539337	
