Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	2.9991    	4.000000	2.9802    	4.000000	3.04253   	4.000000	3.04253   	4.000000	2.97845   	4.000000	0.00174817	
4.500000	2.7625    	4.500000	2.74344   	4.500000	2.81042   	4.500000	2.81042   	4.500000	2.74187   	4.500000	0.00157463	
5.000000	2.56256   	5.000000	2.54323   	5.000000	2.61205   	5.000000	2.61205   	5.000000	2.54179   	5.000000	0.00143384	
5.500000	2.3913    	5.500000	2.37365   	5.500000	2.44063   	5.500000	2.44063   	5.500000	2.37234   	5.500000	0.0013172 	
6.000000	2.2429    	6.000000	2.2263    	6.000000	2.29101   	6.000000	2.29101   	6.000000	2.22508   	6.000000	0.0012189 	
6.500000	2.11302   	6.500000	2.09695   	6.500000	2.15931   	6.500000	2.15931   	6.500000	2.09582   	6.500000	0.00113488	
7.000000	1.99835   	7.000000	1.98244   	7.000000	2.04247   	7.000000	2.04247   	7.000000	1.98138   	7.000000	0.00106219	
7.500000	1.89634   	7.500000	1.88032   	7.500000	1.9381    	7.500000	1.9381    	7.500000	1.87932   	7.500000	0.000998657	
8.000000	1.80496   	8.000000	1.78865   	8.000000	1.84431   	8.000000	1.84431   	8.000000	1.78771   	8.000000	0.000942623	
8.500000	1.72263   	8.500000	1.70588   	8.500000	1.75954   	8.500000	1.75954   	8.500000	1.70499   	8.500000	0.000892816	
9.000000	1.64804   	9.000000	1.63078   	9.000000	1.68255   	9.000000	1.68255   	9.000000	1.62993   	9.000000	0.000848239	
9.500000	1.58013   	9.500000	1.5623    	9.500000	1.6123    	9.500000	1.6123    	9.500000	1.56149   	9.500000	0.000808097	
10.000000	1.51803   	10.000000	1.54549   	10.000000	1.54794   	10.000000	1.54794   	10.000000	1.54472   	10.000000	0.000771749	
11.000000	1.40847   	11.000000	1.43453   	11.000000	1.43279   	11.000000	1.43376   	11.000000	1.43382   	11.000000	0.000708444	
12.000000	1.31484   	12.000000	1.33923   	12.000000	1.33436   	12.000000	1.33597   	12.000000	1.33857   	12.000000	0.000655143	
13.000000	1.23384   	13.000000	1.2565    	13.000000	1.24929   	13.000000	1.25132   	13.000000	1.25589   	13.000000	0.000609617	
14.000000	1.16306   	14.000000	1.184     	14.000000	1.17505   	14.000000	1.17734   	14.000000	1.18342   	14.000000	0.00057026	
15.000000	1.10063   	15.000000	1.11994   	15.000000	1.10971   	15.000000	1.11218   	15.000000	1.1194    	15.000000	0.000535881	
16.000000	1.04516   	16.000000	1.06292   	16.000000	1.05181   	16.000000	1.05435   	16.000000	1.06241   	16.000000	0.00050558	
17.000000	0.995508  	17.000000	1.01184   	17.000000	1.00017   	17.000000	1.00272   	17.000000	1.01136   	17.000000	0.00047866	
18.000000	0.950801  	18.000000	0.965807  	18.000000	0.953816  	18.000000	0.956359  	18.000000	0.965352  	18.000000	0.00045458	
19.000000	0.910323  	19.000000	0.924109  	19.000000	0.91199   	19.000000	0.914513  	19.000000	0.923676  	19.000000	0.000432906	
20.000000	0.873491  	20.000000	0.886155  	20.000000	0.874109  	20.000000	0.876571  	20.000000	0.885741  	20.000000	0.000413289	
21.000000	0.839827  	21.000000	0.851458  	21.000000	0.839657  	21.000000	0.842027  	21.000000	0.851063  	21.000000	0.000395447	
22.000000	0.80893   	22.000000	0.819614  	22.000000	0.808185  	22.000000	0.810459  	22.000000	0.819235  	22.000000	0.000379144	
23.000000	0.780469  	23.000000	0.790282  	23.000000	0.779329  	23.000000	0.781512  	23.000000	0.789918  	23.000000	0.000364189	
24.000000	0.754161  	24.000000	0.763172  	24.000000	0.752787  	24.000000	0.754885  	24.000000	0.762822  	24.000000	0.000350417	
25.000000	0.729767  	25.000000	0.738039  	25.000000	0.728308  	25.000000	0.730324  	25.000000	0.737702  	25.000000	0.000337692	
27.000000	0.685928  	27.000000	0.692891  	27.000000	0.684719  	27.000000	0.686547  	27.000000	0.692576  	27.000000	0.000314932	
29.000000	0.647626  	29.000000	0.653471  	29.000000	0.647161  	29.000000	0.648758  	29.000000	0.653176  	29.000000	0.000295162	
31.000000	0.613857  	31.000000	0.618743  	31.000000	0.613859  	31.000000	0.615167  	31.000000	0.618465  	31.000000	0.000277821	
33.000000	0.583849  	33.000000	0.587908  	33.000000	0.583715  	33.000000	0.584757  	33.000000	0.587645  	33.000000	0.000262482	
35.000000	0.556996  	35.000000	0.560339  	35.000000	0.556747  	35.000000	0.557556  	35.000000	0.56009   	35.000000	0.000248813	
38.000000	0.521606  	38.000000	0.524047  	38.000000	0.521212  	38.000000	0.521725  	38.000000	0.523816  	38.000000	0.000230882	
41.000000	0.491001  	41.000000	0.492707  	41.000000	0.490499  	41.000000	0.490757  	41.000000	0.492492  	41.000000	0.000215454	
44.000000	0.464258  	44.000000	0.46536   	44.000000	0.463601  	44.000000	0.46371   	44.000000	0.465158  	44.000000	0.000202033	
47.000000	0.440675  	47.000000	0.44128   	47.000000	0.439925  	47.000000	0.439872  	47.000000	0.44109   	47.000000	0.000190248	
50.000000	0.419714  	50.000000	0.419908  	50.000000	0.418878  	50.000000	0.418696  	50.000000	0.419728  	50.000000	0.000179812	
55.000000	0.389498  	55.000000	0.389159  	55.000000	0.388504  	55.000000	0.388194  	55.000000	0.388994  	55.000000	0.000164836	
60.000000	0.363965  	60.000000	0.363237  	60.000000	0.362852  	60.000000	0.362445  	60.000000	0.363085  	60.000000	0.000152247	
65.000000	0.342086  	65.000000	0.341078  	65.000000	0.340858  	65.000000	0.340406  	65.000000	0.340936  	65.000000	0.00014151	
70.000000	0.323114  	70.000000	0.321908  	70.000000	0.321854  	70.000000	0.321318  	70.000000	0.321776  	70.000000	0.000132239	
75.000000	0.306495  	75.000000	0.305156  	75.000000	0.305173  	75.000000	0.304618  	75.000000	0.305032  	75.000000	0.000124151	
