Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	0.0714933 	4.500000	0.197118  	4.500000	0.203185  	4.500000	0.203185  	4.500000	0.196933  	4.500000	0.000185058	
5.000000	0.0658281 	5.000000	0.178878  	5.000000	0.186232  	5.000000	0.186232  	5.000000	0.17871   	5.000000	0.000168177	
5.500000	0.0610583 	5.500000	0.163721  	5.500000	0.172056  	5.500000	0.172056  	5.500000	0.163567  	5.500000	0.000154224	
6.000000	0.056983  	6.000000	0.150924  	6.000000	0.160011  	6.000000	0.160011  	6.000000	0.150781  	6.000000	0.00014249	
6.500000	0.0534578 	6.500000	0.139974  	6.500000	0.149641  	6.500000	0.149641  	6.500000	0.139842  	6.500000	0.000132478	
7.000000	0.0503763 	7.000000	0.130498  	7.000000	0.140613  	7.000000	0.140613  	7.000000	0.130374  	7.000000	0.000123832	
7.500000	0.0476579 	7.500000	0.122217  	7.500000	0.132675  	7.500000	0.132675  	7.500000	0.1221    	7.500000	0.000116285	
8.000000	0.0452408 	8.000000	0.114917  	8.000000	0.125639  	8.000000	0.125639  	8.000000	0.114807  	8.000000	0.000109639	
8.500000	0.0430766 	8.500000	0.108434  	8.500000	0.119355  	8.500000	0.119355  	8.500000	0.10833   	8.500000	0.00010374	
9.000000	0.0411268 	9.000000	0.102637  	9.000000	0.113707  	9.000000	0.113707  	9.000000	0.102539  	9.000000	9.8466e-05	
9.500000	0.0393604 	9.500000	0.0974239 	9.500000	0.108601  	9.500000	0.108601  	9.500000	0.0973301 	9.500000	9.37223e-05	
10.000000	0.0377522 	10.000000	0.0936169 	10.000000	0.10396   	10.000000	0.10396   	10.000000	0.0935274 	10.000000	8.94316e-05	
11.000000	0.0349308 	11.000000	0.0872237 	11.000000	0.0957138 	11.000000	0.0957144 	11.000000	0.0871417 	11.000000	8.19694e-05	
12.000000	0.0325348 	12.000000	0.0816936 	12.000000	0.0887383 	12.000000	0.0887395 	12.000000	0.0816179 	12.000000	7.56976e-05	
13.000000	0.030473  	13.000000	0.0768633 	13.000000	0.0827596 	13.000000	0.0827604 	13.000000	0.076793  	13.000000	7.03493e-05	
