Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.140000	2.15101   	0.140000	2.15101   	0.140000	2.06098   	0.140000	2.06098   	0.140000	2.13651   	0.140000	0.0144965 	
0.160000	2.24723   	0.160000	2.24723   	0.160000	2.1737    	0.160000	2.1737    	0.160000	2.23409   	0.160000	0.0131312 	
0.180000	2.31723   	0.180000	2.31723   	0.180000	2.26654   	0.180000	2.26654   	0.180000	2.3052    	0.180000	0.0120224 	
0.200000	2.37095   	0.200000	2.37095   	0.200000	2.3424    	0.200000	2.3424    	0.200000	2.35985   	0.200000	0.0111022 	
0.250000	2.47003   	0.250000	2.47003   	0.250000	2.47406   	0.250000	2.47406   	0.250000	2.46067   	0.250000	0.00935953	
0.300000	2.56269   	0.300000	2.56269   	0.300000	2.54694   	0.300000	2.54694   	0.300000	2.55457   	0.300000	0.00812493	
0.350000	2.62614   	0.350000	2.62614   	0.350000	2.58255   	0.350000	2.58255   	0.350000	2.61894   	0.350000	0.00719999	
0.400000	2.6519    	0.400000	2.6519    	0.400000	2.60131   	0.400000	2.60131   	0.400000	2.64542   	0.400000	0.00647869	
0.450000	2.66136   	0.450000	2.66136   	0.450000	2.61846   	0.450000	2.61846   	0.450000	2.65546   	0.450000	0.00589895	
0.500000	2.67614   	0.500000	2.67614   	0.500000	2.62086   	0.500000	2.62086   	0.500000	2.67072   	0.500000	0.00542185	
0.600000	2.68915   	0.600000	2.68915   	0.600000	2.59986   	0.600000	2.59986   	0.600000	2.68447   	0.600000	0.00468087	
0.700000	2.6858    	0.700000	2.6858    	0.700000	2.55491   	0.700000	2.55491   	0.700000	2.68167   	0.700000	0.00413005	
0.800000	2.66295   	0.800000	2.66295   	0.800000	2.50376   	0.800000	2.50376   	0.800000	2.65925   	0.800000	0.00370315	
0.900000	2.63412   	0.900000	2.63412   	0.900000	2.45148   	0.900000	2.45148   	0.900000	2.63075   	0.900000	0.00336174	
1.000000	2.60053   	1.000000	2.60053   	1.000000	2.39957   	1.000000	2.39957   	1.000000	2.59745   	1.000000	0.00308197	
1.250000	2.45373   	1.250000	2.45373   	1.250000	2.27144   	1.250000	2.27144   	1.250000	2.45117   	1.250000	0.00256113	
1.500000	2.29285   	1.500000	2.29285   	1.500000	2.14759   	1.500000	2.14759   	1.500000	2.29065   	1.500000	0.00219934	
1.750000	2.1502    	1.750000	2.1502    	1.750000	2.03899   	1.750000	2.03899   	1.750000	2.14827   	1.750000	0.0019323 	
2.000000	2.0114    	2.000000	2.0114    	2.000000	1.94178   	2.000000	1.94178   	2.000000	2.00967   	2.000000	0.0017265 	
2.250000	1.89627   	2.250000	1.89627   	2.250000	1.85387   	2.250000	1.85387   	2.250000	1.8947    	2.250000	0.00156269	
2.500000	1.8382    	2.500000	1.79635   	2.500000	1.77387   	2.500000	1.77387   	2.500000	1.79492   	2.500000	0.00142898	
3.000000	1.69301   	3.000000	1.62934   	3.000000	1.63373   	3.000000	1.63373   	3.000000	1.62812   	3.000000	0.00122335	
3.500000	1.56821   	3.500000	1.49281   	3.500000	1.51526   	3.500000	1.51526   	3.500000	1.49173   	3.500000	0.00107216	
4.000000	1.46072   	4.000000	1.37875   	4.000000	1.41402   	4.000000	1.41402   	4.000000	1.37779   	4.000000	0.000956012	
4.500000	1.36755   	4.500000	1.28161   	4.500000	1.32661   	4.500000	1.32661   	4.500000	1.28075   	4.500000	0.000863799	
5.000000	1.28618   	5.000000	1.19751   	5.000000	1.25044   	5.000000	1.25044   	5.000000	1.19672   	5.000000	0.000788699	
5.500000	1.21459   	5.500000	1.14244   	5.500000	1.18349   	5.500000	1.18349   	5.500000	1.14172   	5.500000	0.000726276	
6.000000	1.15114   	6.000000	1.09394   	6.000000	1.12416   	6.000000	1.12416   	6.000000	1.09327   	6.000000	0.000673516	
6.500000	1.09453   	6.500000	1.05085   	6.500000	1.07123   	6.500000	1.07123   	6.500000	1.05022   	6.500000	0.000628298	
