Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	2.57663   	4.000000	2.51772   	4.000000	2.5534    	4.000000	2.5534    	4.000000	2.51623   	4.000000	0.00148713	
4.500000	2.37922   	4.500000	2.33068   	4.500000	2.36757   	4.500000	2.36757   	4.500000	2.32934   	4.500000	0.00134027	
5.000000	2.21142   	5.000000	2.17222   	5.000000	2.20825   	5.000000	2.20825   	5.000000	2.171     	5.000000	0.00122103	
5.500000	2.06704   	5.500000	2.03585   	5.500000	2.07015   	5.500000	2.07015   	5.500000	2.03473   	5.500000	0.0011222 	
6.000000	1.94147   	6.000000	1.91705   	6.000000	1.94929   	6.000000	1.94929   	6.000000	1.91601   	6.000000	0.00103886	
6.500000	1.83124   	6.500000	1.81249   	6.500000	1.84261   	6.500000	1.84261   	6.500000	1.81153   	6.500000	0.000967594	
7.000000	1.73368   	7.000000	1.71969   	7.000000	1.74772   	7.000000	1.74772   	7.000000	1.71879   	7.000000	0.000905913	
7.500000	1.64672   	7.500000	1.63671   	7.500000	1.66277   	7.500000	1.66277   	7.500000	1.63586   	7.500000	0.000851977	
8.000000	1.56869   	8.000000	1.56203   	8.000000	1.58624   	8.000000	1.58624   	8.000000	1.56123   	8.000000	0.000804392	
8.500000	1.49827   	8.500000	1.49444   	8.500000	1.51693   	8.500000	1.51693   	8.500000	1.49368   	8.500000	0.000762082	
9.000000	1.43439   	9.000000	1.43295   	9.000000	1.45384   	9.000000	1.45384   	9.000000	1.43223   	9.000000	0.000724203	
9.500000	1.37616   	9.500000	1.37675   	9.500000	1.39616   	9.500000	1.39616   	9.500000	1.37606   	9.500000	0.000690083	
10.000000	1.32287   	10.000000	1.33419   	10.000000	1.34322   	10.000000	1.34322   	10.000000	1.33353   	10.000000	0.00065918	
11.000000	1.22872   	11.000000	1.24273   	11.000000	1.24784   	11.000000	1.24877   	11.000000	1.24213   	11.000000	0.000605337	
12.000000	1.14814   	12.000000	1.16356   	12.000000	1.16579   	12.000000	1.16734   	12.000000	1.163     	12.000000	0.000559983	
13.000000	1.07835   	13.000000	1.09437   	13.000000	1.09445   	13.000000	1.09639   	13.000000	1.09385   	13.000000	0.00052123	
14.000000	1.01728   	14.000000	1.03342   	14.000000	1.03182   	14.000000	1.03402   	14.000000	1.03293   	14.000000	0.000487716	
15.000000	0.963388  	15.000000	0.979313  	15.000000	0.976365  	15.000000	0.978733  	15.000000	0.978854  	15.000000	0.00045843	
16.000000	0.915448  	16.000000	0.930965  	16.000000	0.926951  	16.000000	0.929395  	16.000000	0.930532  	16.000000	0.00043261	
