Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.500000	3.36435   	4.500000	3.30297   	4.500000	3.41733   	4.500000	3.41733   	4.500000	3.30083   	4.500000	0.00213708	
5.000000	3.11403   	5.000000	3.05752   	5.000000	3.17013   	5.000000	3.17013   	5.000000	3.05557   	5.000000	0.00194577	
5.500000	2.90051   	5.500000	2.85019   	5.500000	2.95729   	5.500000	2.95729   	5.500000	2.84841   	5.500000	0.0017873 	
6.000000	2.71612   	6.000000	2.67028   	6.000000	2.77211   	6.000000	2.77211   	6.000000	2.66862   	6.000000	0.00165378	
6.500000	2.55523   	6.500000	2.51255   	6.500000	2.60952   	6.500000	2.60952   	6.500000	2.51101   	6.500000	0.00153965	
7.000000	2.41354   	7.000000	2.37306   	7.000000	2.46562   	7.000000	2.46562   	7.000000	2.37162   	7.000000	0.00144093	
7.500000	2.28777   	7.500000	2.24878   	7.500000	2.33734   	7.500000	2.33734   	7.500000	2.24742   	7.500000	0.00135464	
8.000000	2.17534   	8.000000	2.13732   	8.000000	2.22225   	8.000000	2.22225   	8.000000	2.13604   	8.000000	0.00127855	
8.500000	2.07421   	8.500000	2.03677   	8.500000	2.11841   	8.500000	2.11841   	8.500000	2.03556   	8.500000	0.00121092	
9.000000	1.98273   	9.000000	1.94559   	9.000000	2.02423   	9.000000	2.02423   	9.000000	1.94444   	9.000000	0.0011504 	
9.500000	1.89957   	9.500000	1.86253   	9.500000	1.93841   	9.500000	1.93841   	9.500000	1.86143   	9.500000	0.0010959 	
10.000000	1.82362   	10.000000	1.8115    	10.000000	1.85988   	10.000000	1.85988   	10.000000	1.81045   	10.000000	0.00104656	
11.000000	1.68987   	11.000000	1.68321   	11.000000	1.71923   	11.000000	1.72033   	11.000000	1.68225   	11.000000	0.000960627	
12.000000	1.57579   	12.000000	1.57274   	12.000000	1.59925   	12.000000	1.60106   	12.000000	1.57186   	12.000000	0.000888282	
13.000000	1.47727   	13.000000	1.47665   	13.000000	1.49571   	13.000000	1.49799   	13.000000	1.47582   	13.000000	0.000826497	
14.000000	1.39131   	14.000000	1.39228   	14.000000	1.40548   	14.000000	1.40806   	14.000000	1.39151   	14.000000	0.000773087	
15.000000	1.3156    	15.000000	1.31763   	15.000000	1.32616   	15.000000	1.32894   	15.000000	1.31691   	15.000000	0.000726437	
16.000000	1.2484    	16.000000	1.25111   	16.000000	1.25595   	16.000000	1.25881   	16.000000	1.25042   	16.000000	0.000685322	
17.000000	1.18832   	17.000000	1.19144   	17.000000	1.19338   	17.000000	1.19626   	17.000000	1.19079   	17.000000	0.000648799	
18.000000	1.13428   	18.000000	1.13762   	18.000000	1.13727   	18.000000	1.14012   	18.000000	1.137     	18.000000	0.00061613	
19.000000	1.08539   	19.000000	1.08882   	19.000000	1.08666   	19.000000	1.0895    	19.000000	1.08823   	19.000000	0.000586727	
20.000000	1.04094   	20.000000	1.04437   	20.000000	1.04086   	20.000000	1.04363   	20.000000	1.04381   	20.000000	0.000560116	
21.000000	1.00035   	21.000000	1.0037    	21.000000	0.999228  	21.000000	1.00189   	21.000000	1.00316   	21.000000	0.000535913	
22.000000	0.963115  	22.000000	0.966356  	22.000000	0.961214  	22.000000	0.96377   	22.000000	0.965842  	22.000000	0.000513801	
23.000000	0.928841  	23.000000	0.931936  	23.000000	0.926375  	23.000000	0.928828  	23.000000	0.931443  	23.000000	0.000493516	
24.000000	0.897179  	24.000000	0.900109  	24.000000	0.894343  	24.000000	0.896701  	24.000000	0.899634  	24.000000	0.000474838	
25.000000	0.867837  	25.000000	0.870588  	25.000000	0.864811  	25.000000	0.867076  	25.000000	0.87013   	25.000000	0.00045758	
27.000000	0.815148  	27.000000	0.817523  	27.000000	0.812244  	27.000000	0.814298  	27.000000	0.817097  	27.000000	0.000426715	
