Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
0.120000	5.30689   	0.120000	5.30689   	0.120000	5.24772   	0.120000	5.24772   	0.120000	5.27909   	0.120000	0.0277931 	
0.140000	5.38039   	0.140000	5.38039   	0.140000	5.35121   	0.140000	5.35121   	0.140000	5.3558    	0.140000	0.0245941 	
0.160000	5.40523   	0.160000	5.40523   	0.160000	5.39914   	0.160000	5.39914   	0.160000	5.38312   	0.160000	0.0221046 	
0.180000	5.38753   	0.180000	5.38753   	0.180000	5.41376   	0.180000	5.41376   	0.180000	5.36742   	0.180000	0.0201069 	
0.200000	5.36499   	0.200000	5.36499   	0.200000	5.40897   	0.200000	5.40897   	0.200000	5.34652   	0.200000	0.0184653 	
0.250000	5.30585   	0.250000	5.30585   	0.250000	5.35933   	0.250000	5.35933   	0.250000	5.29046   	0.250000	0.0153976 	
0.300000	5.32557   	0.300000	5.32557   	0.300000	5.29363   	0.300000	5.29363   	0.300000	5.31232   	0.300000	0.0132571 	
0.350000	5.35674   	0.350000	5.35674   	0.350000	5.22675   	0.350000	5.22675   	0.350000	5.34507   	0.350000	0.0116718 	
0.400000	5.33506   	0.400000	5.33506   	0.400000	5.16863   	0.400000	5.16863   	0.400000	5.32461   	0.400000	0.0104467 	
0.450000	5.29361   	0.450000	5.29361   	0.450000	5.14625   	0.450000	5.14625   	0.450000	5.28414   	0.450000	0.00946937	
0.500000	5.26896   	0.500000	5.26896   	0.500000	5.1114    	0.500000	5.1114    	0.500000	5.26029   	0.500000	0.00867007	
0.600000	5.20363   	0.600000	5.20363   	0.600000	5.01763   	0.600000	5.01763   	0.600000	5.19619   	0.600000	0.00743795	
0.700000	5.11496   	0.700000	5.11496   	0.700000	4.89313   	0.700000	4.89313   	0.700000	5.10843   	0.700000	0.00652967	
0.800000	5.0043    	0.800000	5.0043    	0.800000	4.76174   	0.800000	4.76174   	0.800000	4.99847   	0.800000	0.00583041	
0.900000	4.88743   	0.900000	4.88743   	0.900000	4.63143   	0.900000	4.63143   	0.900000	4.88216   	0.900000	0.00527427	
1.000000	4.76829   	1.000000	4.76829   	1.000000	4.50405   	1.000000	4.50405   	1.000000	4.76347   	1.000000	0.00482066	
1.250000	4.44114   	1.250000	4.44114   	1.250000	4.19806   	1.250000	4.19806   	1.250000	4.43716   	1.250000	0.0039816 	
1.500000	4.09884   	1.500000	4.09884   	1.500000	3.91167   	1.500000	3.91167   	1.500000	4.09544   	1.500000	0.00340316	
1.750000	3.80931   	1.750000	3.80931   	1.750000	3.66623   	1.750000	3.66623   	1.750000	3.80633   	1.750000	0.00297871	
2.000000	3.53638   	2.000000	3.53638   	2.000000	3.45175   	2.000000	3.45175   	2.000000	3.53373   	2.000000	0.00265314	
2.250000	3.30513   	2.250000	3.30513   	2.250000	3.26209   	2.250000	3.26209   	2.250000	3.30274   	2.250000	0.00239503	
2.500000	3.15886   	2.500000	3.1104    	2.500000	3.09298   	2.500000	3.09298   	2.500000	3.10822   	2.500000	0.00218505	
3.000000	2.84994   	3.000000	2.796     	3.000000	2.80429   	3.000000	2.80429   	3.000000	2.79414   	3.000000	0.00186345	
3.500000	2.59715   	3.500000	2.54806   	3.500000	2.56711   	3.500000	2.56711   	3.500000	2.54643   	3.500000	0.0016281 	
4.000000	2.38705   	4.000000	2.34653   	4.000000	2.36893   	4.000000	2.36893   	4.000000	2.34508   	4.000000	0.00144798	
4.500000	2.20989   	4.500000	2.17863   	4.500000	2.20095   	4.500000	2.20095   	4.500000	2.17732   	4.500000	0.00130543	
5.000000	2.05856   	5.000000	2.03587   	5.000000	2.05678   	5.000000	2.05678   	5.000000	2.03468   	5.000000	0.00118965	
5.500000	1.9278    	5.500000	1.91263   	5.500000	1.93168   	5.500000	1.93168   	5.500000	1.91153   	5.500000	0.00109364	
6.000000	1.8137    	6.000000	1.80494   	6.000000	1.82207   	6.000000	1.82207   	6.000000	1.80393   	6.000000	0.00101267	
6.500000	1.71323   	6.500000	1.70992   	6.500000	1.72523   	6.500000	1.72523   	6.500000	1.70898   	6.500000	0.000943396	
7.000000	1.62409   	7.000000	1.62538   	7.000000	1.63901   	7.000000	1.63901   	7.000000	1.6245    	7.000000	0.000883427	
7.500000	1.54444   	7.500000	1.54961   	7.500000	1.56174   	7.500000	1.56174   	7.500000	1.54878   	7.500000	0.000830977	
8.000000	1.47283   	8.000000	1.48129   	8.000000	1.49205   	8.000000	1.49205   	8.000000	1.4805    	8.000000	0.000784693	
8.500000	1.40809   	8.500000	1.41933   	8.500000	1.42888   	8.500000	1.42888   	8.500000	1.41858   	8.500000	0.000743532	
9.000000	1.34926   	9.000000	1.36286   	9.000000	1.37132   	9.000000	1.37132   	9.000000	1.36215   	9.000000	0.000706674	
9.500000	1.29556   	9.500000	1.31117   	9.500000	1.31864   	9.500000	1.31864   	9.500000	1.31049   	9.500000	0.000673468	
10.000000	1.24634   	10.000000	1.26934   	10.000000	1.27024   	10.000000	1.27024   	10.000000	1.2687    	10.000000	0.000643388	
11.000000	1.15923   	11.000000	1.18386   	11.000000	1.18237   	11.000000	1.18331   	11.000000	1.18327   	11.000000	0.000590969	
12.000000	1.08451   	12.000000	1.10963   	12.000000	1.10651   	12.000000	1.10806   	12.000000	1.10908   	12.000000	0.000546802	
13.000000	1.01967   	13.000000	1.04461   	13.000000	1.04031   	13.000000	1.04225   	13.000000	1.0441    	13.000000	0.000509054	
14.000000	0.962851  	14.000000	0.987202  	14.000000	0.981977  	14.000000	0.984175  	14.000000	0.986726  	14.000000	0.000476401	
15.000000	0.912624  	15.000000	0.936157  	15.000000	0.930148  	15.000000	0.932514  	15.000000	0.935709  	15.000000	0.000447864	
16.000000	0.867888  	16.000000	0.890475  	16.000000	0.883796  	16.000000	0.886237  	16.000000	0.890053  	16.000000	0.000422698	
17.000000	0.827774  	17.000000	0.849357  	17.000000	0.84208   	17.000000	0.844526  	17.000000	0.848957  	17.000000	0.000400332	
18.000000	0.791591  	18.000000	0.812151  	18.000000	0.804284  	18.000000	0.806721  	18.000000	0.811771  	18.000000	0.000380316	
19.000000	0.758776  	19.000000	0.778324  	19.000000	0.76987   	19.000000	0.772286  	19.000000	0.777962  	19.000000	0.000362293	
