Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
4.000000	0.0783425 	4.000000	0.0757009 	4.000000	0.0760478 	4.000000	0.0760478 	4.000000	0.0756568 	4.000000	4.41391e-05	
4.500000	0.0714933 	4.500000	0.0693367 	4.500000	0.0697213 	4.500000	0.0697213 	4.500000	0.069297  	4.500000	3.97458e-05	
5.000000	0.0658281 	5.000000	0.0640626 	5.000000	0.064459  	5.000000	0.064459  	5.000000	0.0640264 	5.000000	3.61827e-05	
5.500000	0.0610583 	5.500000	0.0596125 	5.500000	0.0600053 	5.500000	0.0600053 	5.500000	0.0595793 	5.500000	3.32317e-05	
6.000000	0.056983  	6.000000	0.0558016 	6.000000	0.0561817 	6.000000	0.0561817 	6.000000	0.0557709 	6.000000	3.07456e-05	
6.500000	0.0534578 	6.500000	0.0524974 	6.500000	0.0528593 	6.500000	0.0528593 	6.500000	0.0524687 	6.500000	2.8621e-05	
7.000000	0.0503763 	7.000000	0.0496019 	7.000000	0.0499427 	7.000000	0.0499427 	7.000000	0.0495751 	7.000000	2.67834e-05	
7.500000	0.0476579 	7.500000	0.0470414 	7.500000	0.0473597 	7.500000	0.0473597 	7.500000	0.0470162 	7.500000	2.51774e-05	
8.000000	0.0452408 	8.000000	0.0447592 	8.000000	0.0450545 	8.000000	0.0450545 	8.000000	0.0447354 	8.000000	2.37614e-05	
8.500000	0.0430766 	8.500000	0.0427107 	8.500000	0.0429832 	8.500000	0.0429832 	8.500000	0.0426882 	8.500000	2.25029e-05	
9.000000	0.0411268 	9.000000	0.0408607 	9.000000	0.0411109 	9.000000	0.0411109 	9.000000	0.0408394 	9.000000	2.13768e-05	
9.500000	0.0393604 	9.500000	0.0391808 	9.500000	0.0394093 	9.500000	0.0394093 	9.500000	0.0391605 	9.500000	2.03628e-05	
10.000000	0.0377522 	10.000000	0.0379114 	10.000000	0.0378555 	10.000000	0.0378555 	10.000000	0.037892  	10.000000	1.94448e-05	
11.000000	0.0349308 	11.000000	0.0351966 	11.000000	0.0350769 	11.000000	0.0350772 	11.000000	0.0351788 	11.000000	1.78463e-05	
12.000000	0.0325348 	12.000000	0.0328699 	12.000000	0.0327052 	12.000000	0.0327058 	12.000000	0.0328534 	12.000000	1.65007e-05	
13.000000	0.030473  	13.000000	0.030853  	13.000000	0.0306562 	13.000000	0.0306566 	13.000000	0.0308376 	13.000000	1.53516e-05	
14.000000	0.0286789 	14.000000	0.0290872 	14.000000	0.028867  	14.000000	0.028867  	14.000000	0.0290728 	14.000000	1.43585e-05	
15.000000	0.0271027 	15.000000	0.0275278 	15.000000	0.0272897 	15.000000	0.0272898 	15.000000	0.0275143 	15.000000	1.3491e-05	
16.000000	0.0257062 	16.000000	0.0261404 	16.000000	0.025889  	16.000000	0.0258887 	16.000000	0.0261276 	16.000000	1.27266e-05	
17.000000	0.0244599 	17.000000	0.0248975 	17.000000	0.0246367 	17.000000	0.0246354 	17.000000	0.0248854 	17.000000	1.20476e-05	
18.000000	0.0233404 	18.000000	0.0237774 	18.000000	0.0235093 	18.000000	0.0235074 	18.000000	0.023766  	18.000000	1.14403e-05	
19.000000	0.0223288 	19.000000	0.0227626 	19.000000	0.0224886 	19.000000	0.0224868 	19.000000	0.0227517 	19.000000	1.08938e-05	
20.000000	0.0214101 	20.000000	0.0218386 	20.000000	0.0215605 	20.000000	0.0215587 	20.000000	0.0218282 	20.000000	1.03991e-05	
21.000000	0.0205717 	21.000000	0.0209937 	21.000000	0.020713  	21.000000	0.0207111 	21.000000	0.0209838 	21.000000	9.94932e-06	
22.000000	0.0198034 	22.000000	0.020218  	22.000000	0.0199358 	22.000000	0.0199339 	22.000000	0.0202084 	22.000000	9.53837e-06	
23.000000	0.0190966 	23.000000	0.0195031 	23.000000	0.0192207 	23.000000	0.0192188 	23.000000	0.019494  	23.000000	9.16139e-06	
24.000000	0.018444  	24.000000	0.0188422 	24.000000	0.0185613 	24.000000	0.0185587 	24.000000	0.0188334 	24.000000	8.8143e-06	
25.000000	0.0178395 	25.000000	0.0182292 	25.000000	0.0179513 	25.000000	0.0179474 	25.000000	0.0182207 	25.000000	8.49361e-06	
27.000000	0.0167548 	27.000000	0.0171272 	27.000000	0.0168567 	27.000000	0.0168518 	27.000000	0.0171193 	27.000000	7.92011e-06	
29.000000	0.0158086 	29.000000	0.0161642 	29.000000	0.0159032 	29.000000	0.0158984 	29.000000	0.0161568 	29.000000	7.42201e-06	
31.000000	0.0149756 	31.000000	0.0153152 	31.000000	0.0150736 	31.000000	0.0150688 	31.000000	0.0153082 	31.000000	6.98518e-06	
33.000000	0.0142362 	33.000000	0.0145607 	33.000000	0.0143428 	33.000000	0.0143382 	33.000000	0.0145541 	33.000000	6.59883e-06	
35.000000	0.0135753 	35.000000	0.0138856 	35.000000	0.0136879 	35.000000	0.0136839 	35.000000	0.0138793 	35.000000	6.25458e-06	
38.000000	0.0127051 	38.000000	0.012996  	38.000000	0.0128259 	38.000000	0.0128204 	38.000000	0.0129902 	38.000000	5.80306e-06	
41.000000	0.0119535 	41.000000	0.0122271 	41.000000	0.0120785 	41.000000	0.0120728 	41.000000	0.0122217 	41.000000	5.41463e-06	
44.000000	0.0112973 	44.000000	0.0115556 	44.000000	0.011424  	44.000000	0.0114188 	44.000000	0.0115505 	44.000000	5.07679e-06	
47.000000	0.0107192 	47.000000	0.0109638 	47.000000	0.0108465 	47.000000	0.0108416 	47.000000	0.010959  	47.000000	4.78014e-06	
50.000000	0.0102057 	50.000000	0.0104381 	50.000000	0.0103328 	50.000000	0.0103282 	50.000000	0.0104336 	50.000000	4.5175e-06	
55.000000	0.00946597	55.000000	0.00968119	55.000000	0.00959177	55.000000	0.00958751	55.000000	0.00967705	55.000000	4.14066e-06	
60.000000	0.00884144	60.000000	0.0090425 	60.000000	0.00896542	60.000000	0.00896121	60.000000	0.00903867	60.000000	3.82392e-06	
65.000000	0.00830663	65.000000	0.00849606	65.000000	0.00842931	65.000000	0.00842433	65.000000	0.00849251	65.000000	3.55382e-06	
70.000000	0.00784316	70.000000	0.00802302	70.000000	0.00796328	70.000000	0.00795875	70.000000	0.0080197 	70.000000	3.32064e-06	
75.000000	0.00743736	75.000000	0.00760937	75.000000	0.00755525	75.000000	0.00755097	75.000000	0.00760626	75.000000	3.11723e-06	
80.000000	0.00707889	80.000000	0.00724448	80.000000	0.00719476	80.000000	0.00719072	80.000000	0.00724154	80.000000	2.93816e-06	
85.000000	0.00675975	85.000000	0.0069201 	85.000000	0.00687389	85.000000	0.00687006	85.000000	0.00691732	85.000000	2.77925e-06	
90.000000	0.00647368	90.000000	0.00662979	90.000000	0.0065864 	90.000000	0.00658273	90.000000	0.00662716	90.000000	2.63725e-06	
95.000000	0.00621567	95.000000	0.00636839	95.000000	0.00632808	95.000000	0.00632373	95.000000	0.00636588	95.000000	2.50956e-06	
100.000000	0.0059817 	100.000000	0.00613175	100.000000	0.00609319	100.000000	0.00608903	100.000000	0.00612936	100.000000	2.3941e-06	
105.000000	0.00576847	105.000000	0.00591647	105.000000	0.00587931	105.000000	0.00587533	105.000000	0.00591418	105.000000	2.28917e-06	
110.000000	0.0055733 	110.000000	0.00571977	110.000000	0.00568374	110.000000	0.0056799 	110.000000	0.00571758	110.000000	2.19337e-06	
115.000000	0.00539391	115.000000	0.00553931	115.000000	0.00550418	115.000000	0.00550049	115.000000	0.00553721	115.000000	2.10556e-06	
120.000000	0.00522843	120.000000	0.00537315	120.000000	0.00533873	120.000000	0.00533518	120.000000	0.00537113	120.000000	2.02475e-06	
125.000000	0.00507526	125.000000	0.00521964	125.000000	0.00518581	125.000000	0.00518236	125.000000	0.00521769	125.000000	1.95014e-06	
130.000000	0.00493304	130.000000	0.00507738	130.000000	0.00504401	130.000000	0.00504067	130.000000	0.0050755 	130.000000	1.88102e-06	
135.000000	0.00480061	135.000000	0.00494517	135.000000	0.00491209	135.000000	0.00490892	135.000000	0.00494335	135.000000	1.81681e-06	
140.000000	0.00467696	140.000000	0.00482196	140.000000	0.00478949	140.000000	0.0047861 	140.000000	0.00482021	140.000000	1.757e-06 	
145.000000	0.00456123	145.000000	0.00470687	145.000000	0.00467502	145.000000	0.00467132	145.000000	0.00470517	145.000000	1.70114e-06	
150.000000	0.00445266	150.000000	0.00459912	150.000000	0.00456742	150.000000	0.00456383	150.000000	0.00459747	150.000000	1.64885e-06	
155.000000	0.00429979	155.000000	0.00449801	155.000000	0.0044664 	155.000000	0.00446294	155.000000	0.00449641	155.000000	1.59979e-06	
160.000000	0.00421019	160.000000	0.00440296	160.000000	0.00437146	160.000000	0.00436807	160.000000	0.0044014 	160.000000	1.55367e-06	
165.000000	0.00412569	165.000000	0.00431342	165.000000	0.004282  	165.000000	0.00427869	165.000000	0.00431191	165.000000	1.51023e-06	
170.000000	0.00404587	170.000000	0.00422894	170.000000	0.00419757	170.000000	0.00419434	170.000000	0.00422747	170.000000	1.46924e-06	
175.000000	0.00397035	175.000000	0.00414909	175.000000	0.00411776	175.000000	0.00411461	175.000000	0.00414766	175.000000	1.4305e-06	
180.000000	0.00389877	180.000000	0.00407351	180.000000	0.00404221	180.000000	0.00403912	180.000000	0.00407212	180.000000	1.39382e-06	
185.000000	0.00383084	185.000000	0.00400185	185.000000	0.00397059	185.000000	0.00396756	185.000000	0.00400049	185.000000	1.35904e-06	
190.000000	0.00376628	190.000000	0.00393383	190.000000	0.0039026 	190.000000	0.00389962	190.000000	0.0039325 	190.000000	1.32602e-06	
195.000000	0.00370485	195.000000	0.00386916	195.000000	0.00383792	195.000000	0.00383503	195.000000	0.00386787	195.000000	1.29462e-06	
200.000000	0.00364631	200.000000	0.00380762	200.000000	0.00377637	200.000000	0.00377356	200.000000	0.00380635	200.000000	1.26472e-06	
