ch	ped	gain
128	22.337	0.01907366
129	21.012	0.018407746
130	22.893	0.018839132
131	20.848	0.018041859
132	22.54	0.018538519
133	21.587	0.019009547
134	22.576	0.019874259
135	20.783	0.01838282
136	20.845	0.019112263
137	21.059	0.01957203
138	21.267	0.019210257
139	21.887	0.019803044
140	21.204	0.019890797
141	22.12	0.019786074
142	19.883	0.019776171
143	20.717	0.019098858
144	23.871	0.019347903
145	19.149	0.020178425
146	24.03	0.020304964
147	19.125	0.019387187
148	23.592	0.019952713
149	18.528	0.020014283
150	22.651	0.020535824
151	19.203	0.020982772
