ch	ring	ped	gain
62	15	26	0.01291419
63	0	26	0.01082107
63	1	26	0.010747942
63	2	26	0.010755018
63	3	26	0.011180458
63	4	26	0.011228431
63	5	26	0.011173396
63	6	26	0.011017318
63	7	26	0.011135209
63	8	26	0.011238101
63	9	26	0.011037993
63	10	26	0.012021452
63	11	26	0.012775539
63	12	26	0
63	13	26	0
63	14	26	0
63	15	26	0
