ch	ring	ped	
44	14	23.62	0.01983662
44	15	23.62	0.019681937
45	0	24.62	0.016569757
45	1	24.62	0.016621809
45	2	24.62	0.017167209
45	3	24.62	0.017983049
45	4	24.62	0.017506392
45	5	24.62	0.017441955
45	6	24.62	0.017544011
45	7	24.62	0.017899717
45	8	24.62	0.017965033
45	9	24.62	0.017879622
45	10	24.62	0.018058847
45	11	24.62	0.01826035
45	12	24.62	0.018874418
45	13	24.62	0.019089574
45	14	24.62	0.019319182
45	15	24.62	0.019267857
46	0	21.66	0.018133823
46	1	21.66	0.018322338
46	2	21.66	0.018628121
46	3	21.66	0.018379174
46	4	21.66	0.018895517
46	5	21.66	0.019425447
46	6	21.66	0.019316904
46	7	21.66	0.019512145
46	8	21.66	0.01947049
46	9	21.66	0.019390518
46	10	21.66	0.019641204
46	11	21.66	0.019682293
46	12	21.66	0.019859779
46	13	21.66	0.019833733
46	14	21.66	0.020668364
46	15	21.66	-0.507386888
47	0	24.11	0.016710833
47	1	24.11	0.016575872
47	2	24.11	0.016403204
47	3	24.11	0.017125006
47	4	24.11	0.017353497
47	5	24.11	0.017253123
47	6	24.11	0.017006603
47	7	24.11	0.017104826
47	8	24.11	0.017263162
47	9	24.11	0.01770005
47	10	24.11	0
47	11	24.11	0
47	12	24.11	0
47	13	24.11	0
47	14	24.11	0
47	15	24.11	0
